date,total_events,new_repos
2023-05-29,564659,174027
2023-05-30,535246,165835
2023-05-31,544128,167774
2023-06-01,555022,157581
2023-06-02,502991,155131
2023-06-03,383392,135118
2023-06-04,389531,139301
2023-06-05,544481,160075
2023-06-06,523249,160700
2023-06-07,524845,170403
2023-06-08,506412,161273
2023-06-09,513197,166309
2023-06-10,413347,138443
2023-06-11,389451,139180
2023-06-12,558472,167800
2023-06-13,554293,181777
2023-06-14,586044,187766
2023-06-15,528111,175355
2023-06-16,490855,158720
2023-06-17,382459,139121
2023-06-18,395808,145352
2023-06-19,537703,167456
2023-06-20,562807,182933
2023-06-21,594596,186390
2023-06-22,541400,176417
2023-06-23,547172,181093
2023-06-24,417278,149203
2023-06-25,427978,157126
2023-06-26,577912,185606
2023-06-27,581938,194175
2023-06-28,549155,182612
2023-06-29,498960,165670
2023-06-30,518086,173542
2023-07-01,414629,143347
2023-07-02,355158,133737
2023-07-03,562405,166524
2023-07-04,526692,172653
2023-07-05,562040,183649
2023-07-06,578019,183144
2023-07-07,548034,184978
2023-07-08,459120,180230
2023-07-09,404821,141693
2023-07-10,565029,162344
2023-07-11,608700,168014
2023-07-12,601714,169878
2023-07-13,591375,166685
2023-07-14,555175,157990
2023-07-15,404871,130823
2023-07-16,373277,132105
2023-07-17,545174,160894
2023-07-18,524430,158972
2023-07-19,522184,157296
2023-07-20,559784,169374
2023-07-21,488864,157235
